kód SOORP;název SO ORP;"Počet obyvatel
(k 31.12.)";Přirozený přírůstek;Saldo migrace;"Podíl obyvatel ve věku
0-14 na celkovém počtu obyvatel (%)";"Počet obyvatel ve věku
0-14 (k 31.12.)";"Podíl obyvatel ve věku 
65 a více let na celkovém počtu obyvatel (%)";"Počet obyvatel ve věku
65 a více let (k 31.12.)";"Počet částí obce
 (k 31.12.)";"Podíl nezaměstnaných osob dosažitelných (%) 
k 31.12.";Uchazeči o zaměstnání v evidenci úřadu práce (k 31. 12.) - dosažitelní;Uchazeči o zaměstnání v evidenci úřadu práce (k 31. 12.) - celkem;Uchazeči o zaměstnání v evidenci úřadu práce - absolventi (k 31. 12.);"Uchazeči o zaměstnání v evidenci úřadu práce - evidence nad 12 měs.
(k 31. 12.)";Počet dokončených bytů;Počt dokončených bytů v rodinných domech;Počet hromadných ubytovacích zařízení celkem (k 31.12.);Počet lázeňských léčeben (k 31.12.);Počet lůžek v lázeňských léčebnách (k 31.12.);Podíl zemědělské půdy z celkové výměry (%);Podíl orné půdy ze zemědělské půdy (%);Podíl trvalých travních porostů ze zemědělské půdy (%);Podíl zastavěných a ostatních ploch z celkové výměry (%);Podíl vodních ploch z celkové výměry (%);Podíl lesních pozemků z celkové výměry (%);Koeficient ekologické stability;Orná půda (ha);Chmelnice (ha);Vinice (ha);Zahrady (ha);Ovocné sady (ha);Trvalé travní porosty (ha);Lesní půda (ha);Vodní plochy (ha);Zastavěné plochy (ha);Ostatní plochy (ha);Zemědělská půda (ha);Celková výměra (ha);Živě narození;Zemřelí;Přistěhovalí;Vystěhovalí;Průměrný věk (k 31. 12.);"Počet obyvatel ve věku
 15- 64 let (k 31.12.)";Kód KRAJ_NUTS;Kód CZ_NUTS (3);KRAJ
2101;Benešov;61022;-41;683;17,27573662;10542;19,86988299;12125;268;1,450335798;555;635;22;55;345;285;62;0;0;58,29274955;74,91682217;19,92236336;9,301825161;2,044153543;30,36127174;0,887757678;30134,5409;-;-;1868,3159;207,57;8013,571;20950,3195;1410,5361;1078,7448;5339,8338;40223,9978;69003,432;613;654;1549;866;42,10007866;38355;3026;CZ020;Středočeský kraj
2102;Beroun;64927;75;1009;18,67327922;12124;17,5458592;11392;95;2,867769404;1172;1283;37;306;566;398;39;0;0;47,4681298;71,64071828;20,29310473;11,86502395;1,390321909;39,27652434;1,180001261;14135,099;0,0012;16,3219;1270,8497;304,3273;4003,9387;16325,6263;577,8993;819,4935;4112,3061;19730,5378;41565,863;696;621;2131;1122;40,66717236;41411;3026;CZ020;Středočeský kraj
2103;Brandýs nad Labem-Stará Boleslav;113282;472;1911;21,27345916;24099;14,49126958;16416;85;1,138591676;813;908;29;64;874;583;28;1;i.d.;71,26693293;87,93648149;3,488786728;14,34198769;1,996761141;12,39431823;0,298505326;23699,902;-;12,3316;2085,5534;213,1047;940,2685;4687,1844;755,1192;1259,7617;4163,9768;26951,1602;37817,2023;1336;864;4648;2737;38,49621299;72767;3026;CZ020;Středočeský kraj
2104;Čáslav;25663;-34;45;16,08931146;4129;20,30939485;5212;68;3,429405327;564;604;14;114;63;43;8;0;0;72,58078107;87,8084798;4,437583264;10,36125616;1,37905993;15,67890284;0,349649031;17488,9404;24,4942;12,9451;614,7417;892,1817;883,8398;4302,5019;378,4326;601,192;2242,0761;19917,1429;27441,3455;267;301;557;512;42,81512294;16322;3026;CZ020;Středočeský kraj
2105;Černošice;149338;667;2667;20,97255889;31320;15,66848357;23399;123;1,393330534;1294;1487;35;241;1116;558;57;0;0;57,51989028;79,04986974;8,225128578;12,95926167;1,963084006;27,55776404;0,711488848;26387,299;0,0505;1,5003;3579,6508;666,4768;2745,595;15992,6233;1139,2384;1613,2424;5907,4182;33380,5724;58033,0947;1713;1046;6217;3550;39,13781489;94619;3026;CZ020;Středočeský kraj
2106;Český Brod;21537;92;151;19,49668013;4199;17,22152575;3709;42;2,234842897;303;331;15;53;168;143;3;0;0;79,72060037;88,55377452;2,306296129;10,63189975;1,101038028;8,546461853;0,231110147;13016,1481;-;-;408,3387;935,1012;338,9928;1575,7641;203,0052;389,959;1570,3102;14698,5808;18437,6193;268;176;770;619;40,18314993;13629;3026;CZ020;Středočeský kraj
2107;Dobříš;23079;32;256;17,903722;4132;18,80497422;4340;70;3,355381011;487;503;18;77;116;114;19;0;0;41,84751077;72,14885998;22,91205311;6,870979031;2,632980082;48,64853012;1,698073612;9617,5382;-;-;603,4409;54,9459;3054,2069;15496,5328;838,7111;366,7377;1821,9482;13330,1319;31854,0617;268;236;649;393;41,42296027;14607;3026;CZ020;Středočeský kraj
2108;Hořovice;30131;-23;271;15,91716173;4796;20,25488699;6103;55;1,836532959;353;415;17;66;123;96;8;0;0;51,06686045;73,40992706;20,99452228;9,840432957;1,155939753;37,93676684;1,112888329;10795,5172;-;1,4427;682,5803;138,8475;3087,4125;10924,7075;332,8777;527,4424;2306,3218;14705,8002;28797,1496;316;339;792;521;42,64586306;19232;3026;CZ020;Středočeský kraj
2109;Kladno;125957;-8;1074;16,92323571;21316;19,24386894;24239;70;3,204960265;2569;2910;72;1033;484;367;15;0;0;52,21224261;86,16364674;5,9049492;15,52675875;1,058859744;31,2021389;0,6524902;15786,4161;0,0813;-;1148,5929;304,4728;1081,8714;10948,9253;371,5571;1169,0817;4279,3051;18321,4345;35090,3037;1323;1331;3134;2060;41,93673635;80402;3026;CZ020;Středočeský kraj
2110;Kolín;83500;37;785;16,66467066;13915;20,17844311;16849;140;3,386223278;1782;1985;71;439;312;235;22;0;0;72,68025193;88,85448643;4,162458791;11,09285005;2,634466093;13,59243193;0,321483771;37729,519;-;0,0761;1409,9907;1555,0879;1767,4692;7941,1363;1539,1399;1459,0709;5021,7292;42462,1429;58423,2192;945;908;2178;1393;42,29008383;52736;3026;CZ020;Středočeský kraj
