nazev;okres;obec;pocetMist;lon;lat
Kontaktní pracoviště Aš;CH;Aš;0;12,19499167;50,22386944
Kontaktní pracoviště Benešov;BN;Benešov;2306;14,68696745;49,78162471
Kontaktní pracoviště Benešov (Vlašim);BN;Vlašim;0;14,89880539;49,70632494
Kontaktní pracoviště Benešov (Votice);BN;Votice;0;14,63808508;49,64012654
Kontaktní pracoviště Beroun;BE;Beroun;3925;14,07199649;49,96382341
Kontaktní pracoviště Bílovec;NJ;Bílovec;0;18,01581136;49,75638819
Kontaktní pracoviště Blansko;BK;Blansko;525;16,64315015;49,36313454
Kontaktní pracoviště Blatná;ST;Blatná;0;13,88175931;49,42488579
Kontaktní pracoviště Bohumín;KA;Bohumín;0;18,3575462;49,90410622
Kontaktní pracoviště Boskovice;BK;Boskovice;0;16,6599706;49,48751211
Kontaktní pracoviště Boskovice (Letovice);BK;Letovice;0;16,57357317;49,54708981
Kontaktní pracoviště Brno-město;BM;Brno-město;14858;16,58877278;49,20676299
Kontaktní pracoviště Brno-venkov;BO;Brno-venkov;6478;16,49693452;49,17913777
Kontaktní pracoviště Broumov;NA;Broumov;0;16,33180968;50,58566108
Kontaktní pracoviště Bruntál;BR;Bruntál;856;17,46470194;49,98844485
Kontaktní pracoviště Bruntál (Vrbno pod Pradědem);BR;Vrbno pod Pradědem;0;17,38315686;50,12095134
Kontaktní pracoviště Břeclav;BV;Břeclav;1247;16,88203001;48,75896859
Kontaktní pracoviště Bučovice;VY;Bučovice;0;17,00295222;49,15073806
Kontaktní pracoviště Bystřice nad Pernštejnem;ZR;Bystřice nad Pernštejnem;0;16,26146657;49,52294608
Kontaktní pracoviště Bystřice pod Hostýnem;KM;Bystřice pod Hostýnem;0;17,6740122;49,39923745
Kontaktní pracoviště Čáslav;KH;Čáslav;0;15,38971825;49,91099126
Kontaktní pracoviště Česká Lípa;CL;Česká Lípa;1610;14,537005;50,6865656
Kontaktní pracoviště Česká Lípa (Doksy);CL;Doksy;0;14,65552504;50,56471292
Kontaktní pracoviště Česká Třebová;UO;Česká Třebová;0;16,44727958;49,90188395
Kontaktní pracoviště České Budějovice;CB;České Budějovice;4075;14,474342;48,974469
Kontaktní pracoviště České Budějovice (Nové Hrady);CB;Nové Hrady;0;14,77838511;48,78962999
Kontaktní pracoviště České Budějovice (Trhové Sviny);CB;Trhové Sviny;0;14,63924027;48,8423138
Kontaktní pracoviště České Budějovice (Týn nad Vltavou);CB;Týn nad Vltavou;0;14,42056752;49,22339641
