ZAR_NAZ;OKRES;KAPACITA;X;Y
Školní jídelna;Tøebíè;400;16,05750486;49,10682524
Mateøská škola;Tøebíè;67;16,05750486;49,10682524
Školní jídelna;Havlíèkùv Brod;100;15,27531223;49,69824284
Mateøská škola;Havlíèkùv Brod;87;15,27531223;49,69824284
Støední škola;Jihlava;0;15,48295646;49,29166369
Mateøská škola;Havlíèkùv Brod;0;15,47751212;49,8132525
Školní jídelna;Havlíèkùv Brod;0;15,47751212;49,8132525
Školní jídelna;Tøebíè;0;15,67801334;49,14422263
Mateøská škola;Tøebíè;60;15,67801334;49,14422263
Základní umìlecká škola;Pelhøimov;0;15,21592089;49,42910521
Školní jídelna - výdejna;Jihlava;100;15,59857595;49,46533848
Mateøská škola;Jihlava;45;15,59857595;49,46533848
Školní jídelna - výdejna;Jihlava;100;15,59857595;49,46533848
Mateøská škola;Jihlava;45;15,59857595;49,46533848
Školní jídelna - výdejna;Jihlava;100;15,59857595;49,46533848
Mateøská škola;Jihlava;45;15,59857595;49,46533848
DDM;Žïár nad Sázavou;0;15,95607282;49,33394553
dùm dìtí a mládeže;Havlíèkùv Brod;0;15,27244859;49,6926185
MŠ;Tøebíè;0;15,86606268;49,20852802
ŠJ-v;Tøebíè;0;15,86606268;49,20852802
Základní škola;Tøebíè;750;15,86606268;49,20852802
Školní jídelna;Tøebíè;750;15,86606268;49,20852802
Školní družina;Tøebíè;150;15,86606268;49,20852802
Školní klub;Tøebíè;400;15,86606268;49,20852802
Základní škola;Tøebíè;750;15,86606268;49,20852802
Školní jídelna;Tøebíè;750;15,86606268;49,20852802
Školní družina;Tøebíè;150;15,86606268;49,20852802
Školní klub;Tøebíè;400;15,86606268;49,20852802
Mateøská škola;Tøebíè;0;15,86606268;49,20852802
Školní jídelna - výdejna;Tøebíè;0;15,86606268;49,20852802
Základní škola;Tøebíè;750;15,86606268;49,20852802
Školní jídelna;Tøebíè;750;15,86606268;49,20852802
Školní družina;Tøebíè;150;15,86606268;49,20852802
Školní klub;Tøebíè;400;15,86606268;49,20852802
Školní jídelna;Tøebíè;50;15,86171088;49,20863391
Mateøská škola;Tøebíè;50;15,86171088;49,20863391
Školní jídelna - výdejna;Jihlava;200;15,48054748;49,29068659
Dùm dìtí a mládeže;Jihlava;0;15,48054748;49,29068659
Školní jídelna - výdejna;Jihlava;0;15,48054748;49,29068659
ŠJ - v;Jihlava;0;15,48054748;49,29068659
Mateøská škola;Jihlava;0;15,48054748;49,29068659
Dùm dìtí a mládeže;Jihlava;0;15,48054748;49,29068659
Základní škola;Jihlava;0;15,48054748;49,29068659
Školní jídelna - výdejna;Jihlava;200;15,48054748;49,29068659
Speciálnì pedagogické centrum;Havlíèkùv Brod;0;15,57693948;49,60852756
Speciálnì pedagogické centrum;Havlíèkùv Brod;0;15,57693948;49,60852756
Speciálnì pedagogické centrum;Havlíèkùv Brod;0;15,57693948;49,60852756
Speciálnì pedagogické centrum;Havlíèkùv Brod;0;15,57693948;49,60852756
Školní jídelna;Havlíèkùv Brod;582;15,73776548;49,57764106
Školní jídelna;Havlíèkùv Brod;582;15,73776548;49,57764106
Školní jídelna;Havlíèkùv Brod;582;15,73776548;49,57764106
Školní jídelna;Havlíèkùv Brod;582;15,73776548;49,57764106
Školní jídelna;Havlíèkùv Brod;582;15,73776548;49,57764106
Školní jídelna;Havlíèkùv Brod;582;15,73776548;49,57764106
Školní jídelna;Havlíèkùv Brod;582;15,73776548;49,57764106
Školní jídelna;Havlíèkùv Brod;582;15,73776548;49,57764106
Dùm dìtí a mládeže;Žïár nad Sázavou;0;16,07139577;49,57070232
Støední škola;Žïár nad Sázavou;575;16,07139577;49,57070232
Støední škola;Žïár nad Sázavou;360;16,07139577;49,57070232
Domov mládeže;Žïár nad Sázavou;151;16,07139577;49,57070232
Školní jídelna;Žïár nad Sázavou;400;16,07139577;49,57070232
Školní jídelna;Pelhøimov;280;14,96714367;49,37072451
Základní umìlecká škola;Pelhøimov;0;14,96714367;49,37072451
Základní škola;Pelhøimov;215;14,96714367;49,37072451
Školní družina;Pelhøimov;90;14,96714367;49,37072451
Mateøská škola;Pelhøimov;0;14,96714367;49,37072451
Školní jídelna - výdejna;Pelhøimov;0;14,96714367;49,37072451
Dìtský domov se školou;Jihlava;0;15,58598331;49,39526862
Školní jídelna;Tøebíè;280;15,89487914;49,22057451
Mateøská škola;Tøebíè;115;15,89487914;49,22057451
Základní škola;Tøebíè;1000;15,89685908;49,21933589
Školní družina;Tøebíè;200;15,89685908;49,21933589
Školní jídelna;Tøebíè;1140;15,89685908;49,21933589
Školní klub;Tøebíè;100;15,89685908;49,21933589
Školní jídelna;Havlíèkùv Brod;100;15,7308936;49,57756769
Mateøská škola;Havlíèkùv Brod;50;15,7308936;49,57756769
Støední škola;Tøebíè;390;15,8819836;49,21337355
Jazyková škola s právem stát.jaz.zko;Tøebíè;90;15,8819836;49,21337355
Vyšší odborná škola;Tøebíè;0;15,8819836;49,21337355
Støední škola;Tøebíè;390;15,8819836;49,21337355
Jazyková škola s právem stát.jaz.zko;Tøebíè;90;15,8819836;49,21337355
Základní umìlecká škola;Pelhøimov;113;15,18372808;49,25173401
Domov mládeže;Havlíèkùv Brod;210;15,58724328;49,60593867
Školní jídelna;Havlíèkùv Brod;200;15,58724328;49,60593867
Støední škola;Havlíèkùv Brod;489;15,58724328;49,60593867
Støední škola;Havlíèkùv Brod;761;15,58724328;49,60593867
Vyšší odborná škola;Jihlava;0;15,60679417;49,39713552
Støední škola;Jihlava;0;15,60679417;49,39713552
DDM;Jihlava;0;15,59576069;49,39393263
DDM;Jihlava;0;15,59576069;49,39393263
Dùm dìtí a mládeže;Jihlava;0;15,59576069;49,39393263
DDM;Jihlava;0;15,59576069;49,39393263
Jídelna;Žïár nad Sázavou;110;15,93247276;49,56448173
Mateøská škola;Žïár nad Sázavou;98;15,93247276;49,56448173
Jídelna;Žïár nad Sázavou;110;15,93247276;49,56448173
Mateøská škola;Žïár nad Sázavou;98;15,93247276;49,56448173
Jídelna;Žïár nad Sázavou;110;15,93247276;49,56448173
Mateøská škola;Žïár nad Sázavou;98;15,93247276;49,56448173
Školní družina;Jihlava;50;15,55882171;49,14200924
Základní škola;Jihlava;350;15,55882171;49,14200924
Mateøská škola;Jihlava;0;15,55853293;49,14104573
Školní jídelna;Jihlava;0;15,55853293;49,14104573
Mateø škola s jazyk. pø.;Jihlava;119;15,6018317;49,39991281
Školní jídelna;Jihlava;180;15,6018317;49,39991281
Mateø škola s jazyk. pø.;Jihlava;119;15,6018317;49,39991281
Školní jídelna;Jihlava;180;15,6018317;49,39991281
Školní jídelna - výdejna;Jihlava;0;15,60145042;49,40021816
Základní škola;Jihlava;50;15,60145042;49,40021816
Školní družina;Jihlava;20;15,60145042;49,40021816
Støední škola;Jihlava;0;15,60145042;49,40021816
Mateøská škola;Jihlava;109;15,59826245;49,40317749
Školní jídelna;Jihlava;126;15,59826245;49,40317749
Mateøská škola;Jihlava;109;15,59826245;49,40317749
Školní jídelna;Jihlava;126;15,59826245;49,40317749
Školní jídelna - výdejna;Jihlava;0;15,59767295;49,40365381
Mateøská škola;Jihlava;0;15,59767295;49,40365381
Školní jídelna - výdejna;Jihlava;0;15,59767295;49,40365381
Mateøská škola;Jihlava;0;15,59767295;49,40365381
Mateøská škola;Havlíèkùv Brod;100;15,67596103;49,7211009
Školní jídelna;Havlíèkùv Brod;120;15,67596103;49,7211009
Základní škola;Havlíèkùv Brod;600;15,66940339;49,72113246
Školní družina;Havlíèkùv Brod;105;15,66940339;49,72113246
Školní klub;Havlíèkùv Brod;20;15,66940339;49,72113246
Základní škola;Tøebíè;110;15,89120257;49,21480479
Školní jídelna;Tøebíè;120;15,89120257;49,21480479
Školní družina;Tøebíè;30;15,89120257;49,21480479
Školní jídelna;Tøebíè;100;15,89027295;49,21459392
Mateøská škola;Tøebíè;100;15,89027295;49,21459392
Školní jídelna;Tøebíè;100;15,89027295;49,21459392
Mateøská škola;Tøebíè;100;15,89027295;49,21459392
Školní jídelna;Žïár nad Sázavou;100;16,02167489;49,35422803
Mateøská škola;Žïár nad Sázavou;100;16,02167489;49,35422803
Školní jídelna;Žïár nad Sázavou;100;16,02167489;49,35422803
Mateøská škola;Žïár nad Sázavou;100;16,02167489;49,35422803
Školní jídelna;Žïár nad Sázavou;100;16,02167489;49,35422803
Mateøská škola;Žïár nad Sázavou;100;16,02167489;49,35422803
DDM;Jihlava;0;15,70575997;49,2962338
Dùm dìtí a mládeže;Jihlava;0;15,70575997;49,2962338
ŠK;Havlíèkùv Brod;100;15,73698916;49,57778399
Základní škola;Havlíèkùv Brod;600;15,73698916;49,57778399
Školní družina;Havlíèkùv Brod;160;15,73698916;49,57778399
Školní klub;Havlíèkùv Brod;100;15,73698916;49,57778399
ŠD;Havlíèkùv Brod;160;15,73698916;49,57778399
Dùm dìtí a mládeže;Pelhøimov;0;15,22224925;49,43144871
Dùm dìtí a mládeže;Pelhøimov;0;15,22224925;49,43144871
Školní jídelna;Jihlava;45;15,59744933;49,40813816
Dìtský domov se školou;Jihlava;31;15,59744933;49,40813816
Základní škola;Jihlava;0;15,59744933;49,40813816
Školní knihovna;Jihlava;0;15,60748236;49,4023228
Základní škola;Jihlava;565;15,60748236;49,4023228
Školní družina;Jihlava;75;15,60748236;49,4023228
Školní klub;Jihlava;45;15,60748236;49,4023228
Školní jídelna;Jihlava;1300;15,60833729;49,40204984
Základní škola;Jihlava;800;15,60833729;49,40204984
Školní družina;Jihlava;140;15,60833729;49,40204984
Školní klub;Jihlava;30;15,60833729;49,40204984
Školní knihovna;Jihlava;0;15,60833729;49,40204984
Speciálnì pedagogické centrum;Jihlava;510;15,60918895;49,40064277
Školní jídelna;Jihlava;140;15,60918895;49,40064277
Mateøská škola;Jihlava;120;15,60918895;49,40064277
SpeSPC;Jihlava;510;15,60918895;49,40064277
Školní knihovna;Jihlava;0;15,60748236;49,4023228
Základní škola;Jihlava;565;15,60748236;49,4023228
Školní družina;Jihlava;75;15,60748236;49,4023228
Školní klub;Jihlava;45;15,60748236;49,4023228
Školní jídelna;Jihlava;1300;15,60833729;49,40204984
Základní škola;Jihlava;800;15,60833729;49,40204984
Školní družina;Jihlava;140;15,60833729;49,40204984
Školní klub;Jihlava;30;15,60833729;49,40204984
Školní knihovna;Jihlava;0;15,60833729;49,40204984
Školní jídelna - výdejna;Jihlava;0;15,60986303;49,40179039
Mateøská škola;Jihlava;0;15,60986303;49,40179039
