nazev;okres;obec;pocetMist;lon;lat
Kontaktní pracovištì Aš;CH;Aš;0;12,19499167;50,22386944
Kontaktní pracovištì Benešov;BN;Benešov;2306;14,68696745;49,78162471
Kontaktní pracovištì Benešov (Vlašim);BN;Vlašim;0;14,89880539;49,70632494
Kontaktní pracovištì Benešov (Votice);BN;Votice;0;14,63808508;49,64012654
Kontaktní pracovištì Beroun;BE;Beroun;3925;14,07199649;49,96382341
Kontaktní pracovištì Bílovec;NJ;Bílovec;0;18,01581136;49,75638819
Kontaktní pracovištì Blansko;BK;Blansko;525;16,64315015;49,36313454
Kontaktní pracovištì Blatná;ST;Blatná;0;13,88175931;49,42488579
Kontaktní pracovištì Bohumín;KA;Bohumín;0;18,3575462;49,90410622
Kontaktní pracovištì Boskovice;BK;Boskovice;0;16,6599706;49,48751211
Kontaktní pracovištì Boskovice (Letovice);BK;Letovice;0;16,57357317;49,54708981
Kontaktní pracovištì Brno-mìsto;BM;Brno-mìsto;14858;16,58877278;49,20676299
Kontaktní pracovištì Brno-venkov;BO;Brno-venkov;6478;16,49693452;49,17913777
Kontaktní pracovištì Broumov;NA;Broumov;0;16,33180968;50,58566108
Kontaktní pracovištì Bruntál;BR;Bruntál;856;17,46470194;49,98844485
Kontaktní pracovištì Bruntál (Vrbno pod Pradìdem);BR;Vrbno pod Pradìdem;0;17,38315686;50,12095134
Kontaktní pracovištì Bøeclav;BV;Bøeclav;1247;16,88203001;48,75896859
Kontaktní pracovištì Buèovice;VY;Buèovice;0;17,00295222;49,15073806
Kontaktní pracovištì Bystøice nad Pernštejnem;ZR;Bystøice nad Pernštejnem;0;16,26146657;49,52294608
Kontaktní pracovištì Bystøice pod Hostınem;KM;Bystøice pod Hostınem;0;17,6740122;49,39923745
Kontaktní pracovištì Èáslav;KH;Èáslav;0;15,38971825;49,91099126
Kontaktní pracovištì Èeská Lípa;CL;Èeská Lípa;1610;14,537005;50,6865656
Kontaktní pracovištì Èeská Lípa (Doksy);CL;Doksy;0;14,65552504;50,56471292
Kontaktní pracovištì Èeská Tøebová;UO;Èeská Tøebová;0;16,44727958;49,90188395
Kontaktní pracovištì Èeské Budìjovice;CB;Èeské Budìjovice;4075;14,474342;48,974469
Kontaktní pracovištì Èeské Budìjovice (Nové Hrady);CB;Nové Hrady;0;14,77838511;48,78962999
Kontaktní pracovištì Èeské Budìjovice (Trhové Sviny);CB;Trhové Sviny;0;14,63924027;48,8423138
Kontaktní pracovištì Èeské Budìjovice (Tın nad Vltavou);CB;Tın nad Vltavou;0;14,42056752;49,22339641
Kontaktní pracovištì Èeskı Krumlov;CK;Èeskı Krumlov;3833;14,31520763;48,81090725
Kontaktní pracovištì Èeskı Tìšín;KA;Èeskı Tìšín;0;18,6261313;49,74613297
Kontaktní pracovištì Daèice;JH;Daèice;0;15,43726647;49,08154307
Kontaktní pracovištì Dìèín;DC;Dìèín;581;14,21478126;50,78215252
Kontaktní pracovištì Dobruška;RK;Dobruška;0;16,16001314;50,29201323
Kontaktní pracovištì Dobøíš;PB;Dobøíš;0;14,16716673;49,7811328
Kontaktní pracovištì Domalice;DO;Domalice;2797;12,92976101;49,44049194
Kontaktní pracovištì Dvùr Králové nad Labem;TU;Dvùr Králové nad Labem;0;15,81402115;50,43172196
Kontaktní pracovištì Frenštát pod Radhoštìm;NJ;Frenštát pod Radhoštìm;0;18,21078;49,54834623
Kontaktní pracovištì Frıdek-Místek;FM;Frıdek-Místek;1460;18,34837676;49,68536622
